Time (ms),-100 pA,50 pA,75 pA,100 pA
126.34032634032633,-98.22998046875,-79.6875,-74.8321533203125,-69.6990966796875
126.37362637362637,-98.20556640625,-79.7088623046875,-74.7955322265625,-69.7113037109375
126.40692640692639,-98.1719970703125,-79.742431640625,-74.7650146484375,-69.6746826171875
126.44022644022643,-98.211669921875,-79.742431640625,-74.7711181640625,-69.6014404296875
126.47352647352646,-98.248291015625,-79.7027587890625,-74.737548828125,-69.635009765625
126.5068265068265,-98.2513427734375,-79.7027587890625,-74.6826171875,-69.6258544921875
126.54012654012652,-98.248291015625,-79.7027587890625,-74.7222900390625,-69.6014404296875
126.57342657342656,-98.20556640625,-79.7027587890625,-74.7650146484375,-69.537353515625
126.6067266067266,-98.2269287109375,-79.6600341796875,-74.7406005859375,-69.6319580078125
126.64002664002663,-98.22998046875,-79.736328125,-74.700927734375,-69.5770263671875
126.67332667332666,-98.3123779296875,-79.67529296875,-74.6978759765625,-69.5343017578125
126.7066267066267,-98.2696533203125,-79.644775390625,-74.7528076171875,-69.5159912109375
126.73992673992673,-98.2452392578125,-79.6630859375,-74.70703125,-69.5343017578125
126.77322677322675,-98.211669921875,-79.693603515625,-74.652099609375,-69.5159912109375
126.80652680652679,-98.199462890625,-79.6722412109375,-74.7100830078125,-69.4427490234375
126.83982683982683,-98.2452392578125,-79.583740234375,-74.725341796875,-69.4488525390625
126.87312687312686,-98.2391357421875,-79.656982421875,-74.7039794921875,-69.439697265625
126.90642690642689,-98.27880859375,-79.6722412109375,-74.6612548828125,-69.4610595703125
126.93972693972692,-98.20556640625,-79.6539306640625,-74.7222900390625,-69.3695068359375
126.97302697302696,-98.248291015625,-79.5867919921875,-74.725341796875,-69.4122314453125
127.006327006327,-98.2757568359375,-79.6112060546875,-74.6551513671875,-69.476318359375
127.03962703962702,-98.30322265625,-79.632568359375,-74.6246337890625,-69.4732666015625
127.07292707292706,-98.291015625,-79.595947265625,-74.6826171875,-69.451904296875
127.1062271062271,-98.2696533203125,-79.5989990234375,-74.6917724609375,-69.390869140625
127.13952713952713,-98.32763671875,-79.5562744140625,-74.6551513671875,-69.3817138671875
127.17282717282716,-98.3001708984375,-79.583740234375,-74.6307373046875,-69.25048828125
127.20612720612719,-98.2879638671875,-79.5745849609375,-74.5452880859375,-69.2718505859375
127.23942723942723,-98.2330322265625,-79.608154296875,-74.47509765625,-69.29931640625
127.27272727272727,-98.3123779296875,-79.6844482421875,-74.383544921875,-69.3115234375
127.30602730602729,-98.333740234375,-79.6722412109375,-74.4171142578125,-69.4183349609375
127.33932733932733,-98.3123779296875,-79.6478271484375,-74.468994140625,-69.390869140625
127.37262737262736,-98.3154296875,-79.5623779296875,-74.57275390625,-69.3023681640625
127.40592740592739,-98.32763671875,-79.4158935546875,-74.603271484375,-69.3206787109375
127.43922743922742,-98.297119140625,-79.5013427734375,-74.530029296875,-69.2840576171875
127.47252747252746,-98.27880859375,-79.5806884765625,-74.4659423828125,-69.268798828125
127.5058275058275,-98.2666015625,-79.5745849609375,-74.4232177734375,-69.1650390625
127.53912753912752,-98.3367919921875,-79.5867919921875,-74.47509765625,-69.122314453125
127.57242757242756,-98.358154296875,-79.6661376953125,-74.4659423828125,-69.1741943359375
127.6057276057276,-98.3306884765625,-79.6173095703125,-74.359130859375,-69.1619873046875
127.63902763902763,-98.3306884765625,-79.583740234375,-74.35302734375,-69.2108154296875
127.67232767232765,-98.3734130859375,-79.52880859375,-74.383544921875,-69.134521484375
127.70562770562769,-98.32763671875,-79.5196533203125,-74.4384765625,-69.1436767578125
127.73892773892773,-98.3551025390625,-79.5440673828125,-74.420166015625,-69.1802978515625
127.77222777222777,-98.4130859375,-79.5013427734375,-74.4476318359375,-69.1986083984375
127.80552780552779,-98.358154296875,-79.473876953125,-74.4293212890625,-69.207763671875
127.83882783882783,-98.32763671875,-79.3914794921875,-74.4903564453125,-69.073486328125
127.87212787212786,-98.3367919921875,-79.4769287109375,-74.45068359375,-69.0582275390625
127.90542790542789,-98.4130859375,-79.4952392578125,-74.365234375,-69.0521240234375
127.93872793872792,-98.3489990234375,-79.541015625,-74.359130859375,-69.0826416015625
127.97202797202796,-98.3306884765625,-79.5074462890625,-74.3499755859375,-69.0643310546875
128.00532800532798,-98.345947265625,-79.4647216796875,-74.3988037109375,-68.988037109375
128.03862803862802,-98.3795166015625,-79.486083984375,-74.3682861328125,-68.988037109375
128.07192807192806,-98.3673095703125,-79.486083984375,-74.3377685546875,-69.0185546875
128.1052281052281,-98.333740234375,-79.498291015625,-74.273681640625,-69.0032958984375
128.13852813852813,-98.431396484375,-79.40673828125,-74.310302734375,-68.988037109375
128.17182817182817,-98.4039306640625,-79.39453125,-74.3072509765625,-68.9300537109375
128.2051282051282,-98.3917236328125,-79.4342041015625,-74.3255615234375,-68.9361572265625
128.2384282384282,-98.35205078125,-79.449462890625,-74.273681640625,-68.9666748046875
128.27172827172825,-98.406982421875,-79.443359375,-74.249267578125,-68.890380859375
128.3050283050283,-98.443603515625,-79.3609619140625,-74.2523193359375,-68.8812255859375
128.33832833832832,-98.3795166015625,-79.4036865234375,-74.3255615234375,-68.8323974609375
128.37162837162836,-98.42529296875,-79.461669921875,-74.3194580078125,-68.829345703125
128.4049284049284,-98.42529296875,-79.4677734375,-74.3072509765625,-68.8446044921875
128.43822843822844,-98.4283447265625,-79.4525146484375,-74.2218017578125,-68.817138671875
128.47152847152844,-98.4222412109375,-79.3670654296875,-74.2706298828125,-68.7896728515625
128.50482850482848,-98.370361328125,-79.345703125,-74.2767333984375,-68.7530517578125
128.53812853812852,-98.4649658203125,-79.38232421875,-74.261474609375,-68.701171875
128.57142857142856,-98.47412109375,-79.40673828125,-74.2462158203125,-68.7103271484375
128.6047286047286,-98.3642578125,-79.4036865234375,-74.200439453125,-68.7103271484375
128.63802863802863,-98.35205078125,-79.3609619140625,-74.2095947265625,-68.7164306640625
128.67132867132867,-98.406982421875,-79.3609619140625,-74.2401123046875,-68.6676025390625
128.7046287046287,-98.5198974609375,-79.3792724609375,-74.21875,-68.6767578125
128.7379287379287,-98.47412109375,-79.425048828125,-74.176025390625,-68.6920166015625
128.77122877122875,-98.4771728515625,-79.3548583984375,-74.1058349609375,-68.756103515625
128.8045288045288,-98.419189453125,-79.3212890625,-74.1485595703125,-68.7225341796875
128.83782883782882,-98.419189453125,-79.2999267578125,-74.151611328125,-68.6187744140625
128.87112887112886,-98.309326171875,-79.3182373046875,-74.1607666015625,-68.560791015625
128.9044289044289,-98.297119140625,-79.339599609375,-74.102783203125,-68.5516357421875
128.93772893772893,-98.35205078125,-79.302978515625,-74.0692138671875,-68.6187744140625
128.97102897102897,-98.4832763671875,-79.2877197265625,-74.03564453125,-68.585205078125
129.00432900432898,-98.5931396484375,-79.2999267578125,-74.0325927734375,-68.56689453125
129.03762903762902,-98.5382080078125,-79.327392578125,-74.066162109375,-68.505859375
129.07092907092905,-98.49853515625,-79.339599609375,-74.03564453125,-68.5089111328125
129.1042291042291,-98.4710693359375,-79.33349609375,-74.0203857421875,-68.5577392578125
129.13752913752913,-98.5321044921875,-79.2694091796875,-73.9837646484375,-68.5455322265625
129.17082917082917,-98.504638671875,-79.2633056640625,-73.9959716796875,-68.5577392578125
129.2041292041292,-98.49853515625,-79.23583984375,-74.029541015625,-68.4906005859375
129.2374292374292,-98.4100341796875,-79.2938232421875,-74.072265625,-68.511962890625
129.27072927072925,-98.388671875,-79.296875,-73.974609375,-68.5089111328125
129.30402930402929,-98.4039306640625,-79.229736328125,-73.9166259765625,-68.511962890625
129.33732933732932,-98.4344482421875,-79.2327880859375,-73.9532470703125,-68.44482421875
129.37062937062936,-98.4588623046875,-79.2388916015625,-73.974609375,-68.402099609375
129.4039294039294,-98.4222412109375,-79.2999267578125,-74.0386962890625,-68.365478515625
129.43722943722943,-98.4710693359375,-79.3212890625,-73.968505859375,-68.402099609375
129.47052947052947,-98.565673828125,-79.2694091796875,-73.919677734375,-68.438720703125
129.50382950382948,-98.5992431640625,-79.229736328125,-73.8800048828125,-68.4722900390625
129.53712953712952,-98.53515625,-79.217529296875,-73.919677734375,-68.4112548828125
129.57042957042955,-98.492431640625,-79.2816162109375,-73.907470703125,-68.37158203125
129.6037296037296,-98.5137939453125,-79.2572021484375,-73.9288330078125,-68.34716796875
